Date,HPE
10/19/2015,9.64
10/20/2015,9.83
10/21/2015,9.6
10/22/2015,9.87
10/23/2015,9.9
10/26/2015,9.56
10/27/2015,9.16
10/28/2015,9.48
10/29/2015,9.29
10/30/2015,8.57
11/2/2015,8.44
11/3/2015,8.36
11/4/2015,7.96
11/5/2015,7.74
11/6/2015,8.39
11/9/2015,8.27
11/10/2015,8.39
11/11/2015,8.22
11/12/2015,7.98
11/13/2015,7.8
11/16/2015,7.79
11/17/2015,7.7
11/18/2015,7.95
11/19/2015,8.03
11/20/2015,8.28
11/23/2015,8.07
11/24/2015,7.97
11/25/2015,8.23
11/27/2015,8.36
11/30/2015,8.66
12/1/2015,9.09
12/2/2015,8.71
12/3/2015,8.52
12/4/2015,8.87
12/7/2015,9
12/8/2015,8.84
12/9/2015,8.65
12/10/2015,8.57
12/11/2015,8.26
12/14/2015,8.41
12/15/2015,8.48
12/16/2015,8.56
12/17/2015,8.34
12/18/2015,8.25
12/21/2015,8.17
12/22/2015,8.19
12/23/2015,8.69
12/24/2015,8.75
12/28/2015,8.87
12/29/2015,8.85
12/30/2015,8.9
12/31/2015,8.85
1/4/2016,8.81
1/5/2016,8.76
1/6/2016,8.62
1/7/2016,7.99
1/8/2016,7.89
1/11/2016,7.72
1/12/2016,7.72
1/13/2016,7.43
1/14/2016,7.57
1/15/2016,7.3
1/19/2016,7.18
1/20/2016,7.03
1/21/2016,7.23
1/22/2016,7.78
1/25/2016,7.77
1/26/2016,7.92
1/27/2016,7.8
1/28/2016,7.68
1/29/2016,8.02
2/1/2016,8.03
2/2/2016,7.83
2/3/2016,7.79
2/4/2016,8.07
2/5/2016,7.69
2/8/2016,7.29
2/9/2016,7.41
2/10/2016,7.49
2/11/2016,7.22
2/12/2016,7.16
2/16/2016,7.18
2/17/2016,7.58
2/18/2016,7.88
2/19/2016,7.96
2/22/2016,8.04
2/23/2016,7.63
2/24/2016,7.88
2/25/2016,7.97
2/26/2016,7.83
2/29/2016,7.73
3/1/2016,7.74
3/2/2016,8.1
3/3/2016,7.92
3/4/2016,8.99
3/7/2016,9.3
3/8/2016,8.87
3/9/2016,9.02
3/10/2016,9.26
3/11/2016,9.51
3/14/2016,9.56
3/15/2016,9.77
3/16/2016,10.01
3/17/2016,10
3/18/2016,10.09
3/21/2016,10.32
3/22/2016,10.2
3/23/2016,10.17
3/24/2016,10.23
3/28/2016,10.2
3/29/2016,10.28
3/30/2016,10.42
3/31/2016,10.33
4/1/2016,10.72
4/4/2016,10.51
4/5/2016,10.26
4/6/2016,10.46
4/7/2016,10.33
4/8/2016,10.42
4/11/2016,10.33
4/12/2016,10.04
4/13/2016,10.19
4/14/2016,10.05
4/15/2016,10.14
4/18/2016,10.16
4/19/2016,10.04
4/20/2016,10.14
4/21/2016,10.17
4/22/2016,10.19
4/25/2016,10.02
4/26/2016,10.11
4/27/2016,10.08
4/28/2016,9.92
4/29/2016,9.7
5/2/2016,9.55
5/3/2016,9.28
5/4/2016,9.28
5/5/2016,9.16
5/6/2016,9.19
5/9/2016,9.24
5/10/2016,9.26
5/11/2016,9.33
5/12/2016,9.26
5/13/2016,9.19
5/16/2016,9.3
5/17/2016,9.22
5/18/2016,9.13
5/19/2016,9.19
5/20/2016,9.24
5/23/2016,9.36
5/24/2016,9.47
5/25/2016,10.11
5/26/2016,10.13
5/27/2016,10.64
5/31/2016,10.76
6/1/2016,10.65
6/2/2016,10.78
6/3/2016,10.69
6/6/2016,11.01
6/7/2016,11.16
6/8/2016,11.27
6/9/2016,11.39
6/10/2016,11.14
6/13/2016,10.83
6/14/2016,10.67
6/15/2016,10.95
6/16/2016,10.87
6/17/2016,11.03
6/20/2016,11.29
6/21/2016,11.51
6/22/2016,11.19
6/23/2016,11.45
6/24/2016,10.58
6/27/2016,10.02
6/28/2016,10.14
6/29/2016,10.36
6/30/2016,10.64
7/1/2016,10.77
7/5/2016,10.6
7/6/2016,10.72
7/7/2016,10.76
7/8/2016,11.09
7/11/2016,11.27
7/12/2016,11.47
7/13/2016,11.36
7/14/2016,11.64
7/15/2016,11.52
7/18/2016,11.53
7/19/2016,11.53
7/20/2016,11.69
7/21/2016,11.5
7/22/2016,11.68
7/25/2016,11.77
7/26/2016,11.91
7/27/2016,11.85
7/28/2016,11.83
7/29/2016,12.24
8/1/2016,12.28
8/2/2016,12.1
8/3/2016,12.53
8/4/2016,12.68
8/5/2016,12.76
8/8/2016,12.61
8/9/2016,12.64
8/10/2016,12.55
8/11/2016,12.69
8/12/2016,12.75
8/15/2016,12.82
8/16/2016,12.86
8/17/2016,12.61
8/18/2016,12.73
8/19/2016,12.75
8/22/2016,12.78
8/23/2016,12.77
8/24/2016,12.63
8/25/2016,12.72
8/26/2016,12.69
8/29/2016,12.72
8/30/2016,12.57
8/31/2016,12.51
9/1/2016,12.91
9/2/2016,12.94
9/6/2016,12.73
9/7/2016,12.87
9/8/2016,12.45
9/9/2016,12.19
9/12/2016,12.4
9/13/2016,12.33
9/14/2016,12.44
9/15/2016,12.89
9/16/2016,12.97
9/19/2016,13.21
9/20/2016,13.18
9/21/2016,13.47
9/22/2016,13.54
9/23/2016,13.39
9/26/2016,13.28
9/27/2016,13.35
9/28/2016,13.42
9/29/2016,13.34
9/30/2016,13.25
10/3/2016,13.19
10/4/2016,13.04
10/5/2016,13.28
10/6/2016,13.21
10/7/2016,13.01
10/10/2016,13.11
10/11/2016,12.8
10/12/2016,12.82
10/13/2016,12.68
10/14/2016,12.54
10/17/2016,12.39
10/18/2016,12.51
10/19/2016,12.66
10/20/2016,12.75
10/21/2016,12.6
10/24/2016,12.63
10/25/2016,12.58
10/26/2016,12.7
10/27/2016,12.93
10/28/2016,12.91
10/31/2016,13.09
11/1/2016,12.86
11/2/2016,12.83
11/3/2016,12.7
11/4/2016,12.84
11/7/2016,13.46
11/8/2016,13.54
11/9/2016,13.53
11/10/2016,13.44
11/11/2016,13.58
11/14/2016,13.6
11/15/2016,13.64
11/16/2016,13.71
11/17/2016,13.75
11/18/2016,13.58
11/21/2016,13.47
11/22/2016,13.32
11/23/2016,13.72
11/25/2016,13.53
11/28/2016,13.6
11/29/2016,13.83
11/30/2016,13.86
12/1/2016,13.61
12/2/2016,13.89
12/5/2016,14.1
12/6/2016,13.96
12/7/2016,14.38
12/8/2016,14.35
12/9/2016,14.28
12/12/2016,13.92
12/13/2016,13.94
12/14/2016,13.93
12/15/2016,13.82
12/16/2016,13.68
12/19/2016,13.82
12/20/2016,13.89
12/21/2016,13.92
12/22/2016,13.84
12/23/2016,13.88
12/27/2016,13.83
12/28/2016,13.57
12/29/2016,13.6
12/30/2016,13.48
1/3/2017,13.51
1/4/2017,13.66
1/5/2017,13.72
1/6/2017,13.46
1/9/2017,13.14
1/10/2017,13.37
1/11/2017,13.26
1/12/2017,13.25
1/13/2017,13.36
1/17/2017,13.22
1/18/2017,13.32
1/19/2017,13.26
